1,,,,,
142,,ns,class|w,,(class|w = whole)
143,,ns,collection,,(collection = whole)
144,,,concept|a,,e.g. The concept|a 'red' is hard to define iff the property 'red' is hard to define.
145,,ns,concept|a,,(concept|a = property)
146,,,condition,,e.g. He is in a miserable condition.
147,,ns,condition,,(condition=property)
148,,,conscious of,,e.g. b is conscious of 'there are dogs' iff b thinks about 'there are dogs'.
149,,rs,conscious of,,(conscious of=TK)
150,,n,consciousness,,(consciousness=mind)
151,,aa,consistent,,(b=consistent) & ((cJb) x^ (cPd))
152,1,r,exist,EX,(exist=EX) & ((bEX) x^ (bJc)) & (c=extant)
153,,ns,feature ,,(feature=property)
154,,,group,,e.g. There is a group of mammals over there.
155,1,ns,group,,(group = whole)
156,,,group|c,,e.g. Mammals form a group|c.
157,,ns,group|c,,(group|c = concept|n)
158,,rs,instantiate,,(instantiate=I)
159,,r,instantiated by,INSP,(instantiated by=INSP) & ((bINSPc) x^ (cIb))
160,,,instantiated by,,e.g. President in 2015 is instantiated by Obama.
161,,ns,item,,(item=thing)
162,1,a,material,,(c=material) & (d=particle) & ((bJc) x^ (bId))
163,,a,material|m,,(z=material|m) & (((bJz) & (cIb)) x^ (cSd))
164,,ns,material|n ,,(material|n=matter)
165,,ns,matter,,(matter=particle)
166,,,member,,e.g. She is a member of this group of cats.
167,,ns,member,,(member = part)
168,,,member|i,,e.g. This cat is a member|i of the group 'cat'.
169,,ns,member|i,,(member|i = instance)
170,,ns,mental whole,,(mental whole = thought)
171,,n,mind|b,,(c=mind|b) & ((bIc) x^ ((bWd.h.j) & (dIe) & (hIf) & (jIg))) & (e=mind) & (f=imagination) & (g=sensorium)
172,,as,natural|p,,(natural|p = material)
173,1,ns,number|i,,(number|i=integer)
174,,ns,object,,(object=thing)
175,,n,part|f|a,,(c=part|f|a) & ((bIc) x^ (bId)) & (d=fact)
176,,,part|f|a,,e.g. The fact 'there are|e dogs' is|g a|r part|f|a of|f|a reality.
177,,n,part|i,,(c=part|i) & ((bIc) x^ (bId)) & (d=thought)
178,,,part|i,,e.g. 'Hamlet is|e here' is|g a|r part|i of|i|m my imagination.
179,,n,part|w,,(c=part|w) & ((bIc) x^ (bId)) & (d=possible relationship)
180,,,part|w,,e.g. The relationship 'men land on Mars in|d 2050' is|g a|r part|w of|p|w some possible world.
181,1,as,physical ,,(physical=material)
182,,as,physical|c,,(physical|c = material|c)
183,,as,physical|m,,(physical|m = material|m)
184,,aa,possible,,(b=possible) & ((pJb) x^ (pPc))
185,,n,present,,(present = now)
186,,ns,qualia ,,(qualia=sensation)
187,,r,right of,RT,(right of=RT) & ((bRTc) x^ (cLb))
188,,ns,sense datum ,,(sense datum=particle|m)
189,,ns,set,,(set = whole)
190,,,time|m ,,e.g. At what time|m did you see him?
191,,ns,time|m ,,(time|m=moment)
192,,ns,trait,,(trait = property)
193,1,ns,universal,,(universal = concept|n)
194,,,.,,
195,,,.,,Axioms
196,,,.,,
197,,,.,,(pIRb) t^ (pPb)
198,,,.,,"e.g. what the above means is that the real world is a world where things which were once possible happened.  For this reason it follows that if b is an actual world then it is also a possible world, but if c is a possible world, it does not follow necessarily that c is the actual world."
199,,,.,,(((bWc) & (cTKd)) x^ ((bWe) & (eIf))) & (f=particle)
200,,,.,,"e.g. The above axiom is used to justify panpsychism, the belief that every particle has a mind.  It doesn't follow from this that every collection of particles, such as rocks, are governed by one mind."
201,,,.,,((p.qJb) & (p.nt+qJc) & p k^ q) & (b=consistent) & (c=contradictory)
202,,,.,,"e.g. What the symbol k^ means is that if the symbols on the left are written on a line, then we may add the symbol on the right on another line.  (parentheses are not used as normal since it is always a main connective)"
203,,,.,,(((bWc.f Tk) & (fTKe)) t^ (fIRj Tk)) & (eb^dOc) & (j=reality|t) & (k=now)
204,,,.,,e.g. The above axiom helps us prove that you cannot be wrong about what exists in your sensorium at present.
205,,,.,,((bHSc Td) x^ (cWg)) & ((jHSe Tf) x^ (eWh)) & ((kWm) x^ ((cWm) & (eWm))) & ((nWo) x^ (((cWo) ed^ (eWo)) & (fSUTd)) t^ ((kJp) & (nJq))) & (p=many) & (q=few) & (b=reality|1) & (j=reality|2) 
206,,,.,,"e.g. The above string of conjunctions expresses our assumption that the future will be like the past.  Group c is all the properties reality has at time d, and group e is all the properties reality has at time f and group k is the group of all those properties shared by both c and e and group n is all the properties that either c has or e has but not both and group k is a large group and group n is a small group."
207,,,.,,(c=extant) & ((bJc) x^ (bId)) & (d=thing)
208,,,.,,e.g. What the above allows us to prove is that every object which is referred to in our dictionary exists.
209,,,.,,((pJe) t^ ((dJe) & (fJe) & (hJe) & (jJe) & (kJe) & (mJe) & (nJe))) & ((sPt) t^ (rPt)) & (sb^(rIg) t^ (ozzzp)) & (rb^(qIg) t^ ((q~Id) & (q~If) & (q~Ih) & (q~Ij) & (q~Ik) & (q~Im) & (q~In))) & (d=point) & (e=extant) & (f=moment) & (g=thing) & (h=number) & (j=property) & (k=whole) & (m=relation) & (n=concept) & (p=TK)
210,,,.,,"EXP: If the relation 'think' exists, then points, moment, number, property, wholes, relations and concepts exist and if the relation 'think' do not exist in possible world t then points, moments, number, property, wholes, relations and concepts does not exist in possible world t. "
211,,,.,,
212,,,.,,Atomic Categories
213,,,.,,
214,,,thing,,(c=thing) & ((bIc) x^ ((bId) ed^ (bIe))) & ((bId) t^ (bIh)) & (d=relation) & (e=non_relation) & (h=non_whole)
215,,,non_relation,,(c=non_relation) & ((bIc) x^ ((bId) ed^ (bIe) ed^ (bIf) ed^ (bIg))) & (((bIe) ed^ (bIf)) t^ (bIh)) & (d=class concept) & (e=property|n) & (f=property) & (g=instance) & (h=non_whole)
216,,,class concept,,(c=class concept) & ((bIc) x^ ((bId) ed^ (bIe))) & ((bId) t^ (bIf)) & ((bIc) t^ (bIg)) & (d=relationship) & (e=non_relationship) & (f=whole) & (g=non_whole)
217,,,non_relationship,,(c=non_relationship) & ((bIc) x^ ((bId) ed^ (bIe))) & (d=whole) & (e=non_whole)
218,,,non_whole,,(c=non_whole) & ((bIc) x^ ((bIe) ed^ (bIf) ed^ (bIg) ed^ (bIh) ed^ (bIj) ed^ (bIk))) & (e=letter) & (f=mind) & (g=moment) & (h=basic number) & (j=particle) & (k=point)
219,,,whole,, (c=whole) & ((bIc) x^ ((bId) ed^ (bIe) ed^ (bIf) ed^ (bIg) ed^ (bIh))) & (d=imagination) & (e=possible world) & (f=reality) & (g=sensorium) & (h=other)
220,,,relationship,,(c=relationship) & ((bIc) x^ ((bId) ed^ (bIe))) & (d=external relationship) & (e=thought)
221,,,thought,,(c=thought) & ((bIc) x^ ((bJd) ed^ (bJe))) & (d=imaginary relationship) & (e=sensational relationship)
222,,,.,,
223,,,.,,Connectives
224,,,.,,
225,,,.,,"For the following definitions, these constants will be used: (rb^p&q) & (sb^p&nt+q) & (tb^nt+p&q) & (ub^nt+p&nt+q) & (c=consistent)"
